'Name',",'Type',","'City',","'State or Country',","Offical_Web',",'Introduction',",'Industries',","'Campaign',",'Transactions','Location','Team','References'
                                Data Processing & Outsourced Services",[],,"180 Foxhunt Cres, 
            
Syosset, NY 11791
US",David Schiller,https://network.axial.net/company/cfosondemand-472664888406467318

Hardesty LLC,Accountant ,Irvine, CA,http://www.hardestyllc.com,"Hardesty, LLC is an executive services firm providing experienced chief financial officers, controllers and other financial management professionals to companies ranging from emerging growth to large public entities. We offer on-demand financial professionals who have deep financial, strategic and operational management experience. Whether the solution is an interim placement, a special project engagement or a permanent placement, we can accommodate your requirements.","Business Services:
                                Human Resource & Employment Services",[],,"19800 MacArthur Boulevard, Suite 820
            
Irvine, CA 92612
US",rob dennison,https://network.axial.net/company/hardesty-llc

MCM CPAs & Advisors,Accountant ,Louisville, KY,http://www.mcmcpa.com/,"As a large regional CPA firm, MCM LLP provides highly specialized services to a broad range of clients.Privately and publicly held businesses, not-for-profits, small businesses and individuals across the region and throughout the country receive personalized attention and local access from national level talent. We specialize in a variety of tax, assurance, accounting and consulting services and are proud to offer expertise in more than a dozen disciplines, each staffed by a team of highly qualified professionals.MCM combines the technical and industry expertise of larger firms without sacrificing the attention and personal service of a local firm. We help our clients reach their goals through insight, innovation and experience. MCM continues to grow, yet maintains the same friendly, approachable style of doing business that its clients have come to rely on and expect.In addition to having the most local resources in our market, we are members of Baker Tilly International, the world‰Ûªs 8th largest accountancy and business advisory network by combined fee income of its independent members. It is represented by 161 firms in 137 countries with combined fee income of US $3.4 billion and nearly 27,000 people worldwide.

    Show Less",This company has not listed any industries.,[],,"462 South Fourth Street, 2600 Meidinger Tower 
            
Louisville, KY 40202
US",Angela Marshall,https://network.axial.net/company/mcm-cpas-advisors

"Tier One Services, LLC",Accountant ,Rock Hill, SC,http://www.tieroneservices.net,"Seeking companies with at least $1 million EBITDA who are looking for investment or to be acquired.Many entities need an in-house financial executive; someone skilled at raising capital, cash management, handling banking relationships, working with investors, donors or boards or able to conduct complex modeling. Our Client Accounting Service delivery model utilizes the most advanced techniques that put people, process and technology to work for you.Digital dashboards are built into the accounting system and customized for your needs.  This readily available information will enable members of your executive management team to gain a quick snapshot of how you‰Ûªre performing as a whole or for a certain unit or area and you‰Ûªll be able to analyze the root causes of performance from many different perspectives. Your business depends on choosing the solutions and support services that make the best long-term business sense. By using proven repeatable processes, leading methodologies, and detailed analysis, Tier One Services provides client accounting services to help your business nimbly manage industry changes, quick decisions, and new market prospects.Call on us to support your accounting and financial needs while you manage the strategic aspects of your organization.  

    Show Less","Business Services:
                                Data Processing & Outsourced Services; IT Consulting & Other Services
                            
Consumer Services:
                                Education Services; Specialized Consumer Services
                            
Distribution:
                                Air Freight & Logistics
                            
Energy & Utilities:
                                Alternative Energy; Alternative Energy Distribution; Alternative Energy Production
                            
Financial Services:
                                Diversified Financials; Financial Technology; Multi-Sector Holdings
                            
Industrials:
                                Third Party Logistics (3PL); Transportation
                            
Life Sciences:
                                Nutraceuticals; Pharmaceuticals
                            
Media:
                                Publishing
                            
Real Estate:
                                Diversified Real Estate Activities
                            
Technology:
                                Application Software; Financial Technology; Internet Software & Services; Software; Systems Software
                            
Show Less",[],,"572 John Ross Parkway STE 107 #227, 
            
Rock Hill, SC 29730
US","David Campbell
CEO",https://network.axial.net/company/tier-one-services-llc

"Gary Booth Chartered Accountants, Inc.",Accountant ,Toronto, ON,http://garybooth.com/,"We are a full service accounting firm with a dedicated and dynamic team of professionals established in 1994. Our mission is to give clients the support, service and tools to grow and achieve their objectives. We provide affordable services and solutions to businesses, non-profit organizations and individuals.","Business Services:
                                Data Processing & Outsourced Services; Diversified Support Services
                            
Consumer Services:
                                Specialized Consumer Services
                            
Financial Services:
                                Diversified Financials; Specialized Finance
                            
Show Less",[],,"555 Burnhamthorpe Road, Suite 406
            
Toronto, ON M9C 2Y3
CA",Gary Booth,https://network.axial.net/company/gary-booth-chartered-accountants-inc

kapadia LLP,Accountant ,North York, ON,http://Kapadiallp.com,"We believe in the value of relationships. We view every client relationship like a partnership, and truly believe that our success is a result of your success.We are committed to providing close, personal attention to our clients. We take pride in giving you the assurance that the assistance you receive comes from years of advanced training, technical experience and financial acumen. Our continual investment of time and resources in professional continuing education, state-of-the-art computer technology and extensive business relationships is indicative of our commitment to excellence.","Financial Services:
                                Diversified Financials; Other Diversified Financial Services",[],,"265 Rimrock Road, Unit 1
            
North York, ON M3J 3C6
CA",Rupesh Kapadia,https://network.axial.net/company/kapadia-llp

"Union Thunder, Inc.",Business Broker ,Houston, TX,http://www.unionthunder.com/,"We provide paid search and advisory services for several dozen private equity and family office buyers. Our buyers pay our fees, and their interests cover a broad set of requirements. Most of them require $1 MM minimum EBITDA, and are industry agnostic within the U.S.. There is no maximum EBITDA, and some have interest in add-on opportunities with slightly less than $1 MM EBITDA. Our primary family office buyer has over $2 B in assets, and requires $5 MM minimum EBITDA, audited or reviewed financials, and is geography agnostic. We also provide sell-side services.","Business Services:
                                Advertising; Airport Services; Commercial Printing; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Office Services & Supplies; Payment Processors; Research & Consulting Services; Security & Alarm Services
                            
Distribution:
                                Air Freight & Logistics; Food Distributors; Retail Distributors; Technology Distributors
                            
Energy & Utilities:
                                Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Coal & Consumable Fuels; Electric Utilities; Energy Equipment & Services; Gas Utilities; Independent Power Producers & Energy Traders; Integrated Oil & Gas; Multi-Utilities; Oil & Gas Drilling; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels; Utilities; Water Utilities
                            
Health Care:
                                Health Care Distributors
                            
Industrials:
                                Aerospace & Defense; Airlines; Building Products; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Ports & Services; Marine Shipping; Railroads; Safety Equipment; Third Party Logistics (3PL); Trading Companies & Distributors; Transportation; Trucking
                            
Manufacturing:
                                Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automobile Manufacturers; Computer Storage & Peripherals; Construction Materials; Consumer Electronics; Electronic Manufacturing Services; Forest Products; Health Care Equipment; Health Care Supplies; Heavy Electrical Equipment; Heavy Manufacturing; Light Manufacturing; Metal, Glass & Plastic Containers; Motorcycle Manufacturers; Office Electronics; Paper Products; Personal Products; Photographic Products; Textiles; Tires & Rubber
                            
Materials:
                                Aluminum Products; Chemicals; Commodity Chemicals; Containers & Packaging; Diversified Chemicals; Fertilizers & Agricultural Chemicals; Gold Products; Industrial Gases; Metal Ore Mining; Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Other Metal & Mineral Products; Paper Packaging; Specialty Chemicals; Steel Products
                            
Show Less","

Looking for Industrial Platforms or Add-ons
Industrials
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Technology Opportunities
Technology
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Distribution Opportunities
Distribution
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Business Services Platforms or Add-ons
Business Services
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Media Opportunities 
Media
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Materials Investment Opportunities
Materials
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Telecom Opportunities 
Telecommunications
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Retail Opportunities
Retail
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Financial Services Opportunities
Financial Services
$1.0M - $50.0M
$750.0K - $50.0M

Looking for Consumer Services Opportunities 
Consumer Services
$1.0M - $50.0M
$750.0K - $50.0M

",,"Houston, 
            
Houston, TX 77584
US","Timothy Prater
President",https://network.axial.net/company/union-thunder-inc

Business Team - San Francisco,Business Broker ,San Francisco, CA,http://www.business-team.com/N_corp/officesAgents.asp?id=12,"Business Team, a unit of BTI Group, is the largest Business Brokerage firm in the Western United States specializing in arranging the purchase and sale of privately owned companies. During our over quarter century of existence, with over 5,350 successful trasnactions, we have developed both an unmatched depth of experience (an aggregate of several hundred years!) and a vast network of individual, corporate, and investment group buyers. In addition, our affiliation with the International Business Brokers Association allows us to reach buyers represented by other intermediary firms throughout the world.Success-oriented, we partner with our clients to accentuate the value of their business in seeking sales and merger opportunities.  We'd welcome the opportunity to earn your business!

    Show Less","Business Services:
                                Advertising; Airport Services; Commercial Printing; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Office Services & Supplies; Payment Processors; Research & Consulting Services; Security & Alarm Services
                            
Consumer Goods:
                                Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Distillers & Vintners; Food, Beverage & Tobacco; Footwear; Home Furnishings; Homebuilding; Household & Personal Products; Household Appliances; Household Products; Housewares & Specialties; Leisure Products; Packaged Foods & Meats; Soft Drinks; Tires & Rubber; Tobacco
                            
Consumer Services:
                                Casino & Gaming Operators; Education Services; Hotel, Resort & Cruise Line Operators; Leisure Facilities; Restaurants; Specialized Consumer Services
                            
Distribution:
                                Air Freight & Logistics; Food Distributors; Retail Distributors; Technology Distributors
                            
Health Care:
                                Health Care Distributors; Health Care Equipment; Health Care Facilities; Health Care Services; Health Care Supplies; Health Care Technology; Managed Health Care
                            
Industrials:
                                Aerospace & Defense; Airlines; Building Products; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Ports & Services; Marine Shipping; Railroads; Safety Equipment; Third Party Logistics (3PL); Trading Companies & Distributors; Transportation; Trucking
                            
Manufacturing:
                                Automobile Manufacturers; Computer Storage & Peripherals; Construction Materials; Consumer Electronics; Electronic Manufacturing Services; Forest Products; Heavy Electrical Equipment; Heavy Manufacturing; Light Manufacturing; Metal, Glass & Plastic Containers; Motorcycle Manufacturers; Office Electronics; Paper Packaging; Paper Products; Personal Products; Photographic Products; Textiles
                            
Retail:
                                Apparel Retail; Automotive Retail; Catalog Retail; Computer & Electronics Retail; Department Stores; Drug Retail; Food Retail; General Merchandise Stores; Home Improvement Retail; Homefurnishing Retail; Hypermarkets & Super Centers; Internet Retail; Specialty Stores
                            
Show Less",[],,"44 Montgomery Street, Suite 3055
            
San Francisco, CA 94104
US",Carlo Carreon,https://network.axial.net/company/business-team-san-francisco

Murphy Business & Financial Corporation,Business Broker ,Clearwater, FL,http://www.murphybusiness.com,"We are one of the largest and most successful business brokerage firms in North America with business brokers conveniently located throughout the United States and Canada. We specialize in businesses for sale, franchises,business valuations, and commercial real estate. Find a business broker near you. What is a business broker? A business broker is a skilled professional in themergers and acquisitions world and has established relationships with many professional organizations which are required to complete the transfer of ownership. These relationships will prove to be extremely beneficial to the business owner, or business buyer. Murphy business brokers have unsurpassed access to buyers and business sellers in North America. Our proven process and system provides our clients with the means to achieve their goals through a more successful and confidential business transaction. We promise that you will not find a more complete, thorough and professional experience as the one Murphy Business & Financial Corporation can provide.

    Show Less",This company has not listed any industries.,[],"
October 2014
McArthur's Bakery was acquired by Live To Venture, Inc..

Industries
Food Retail, Packaged Foods & Meats

September 2014
Confidential was acquired by Confidential.

Industries
Oil & Gas Equipment & Services

June 2014
Murphy Business & Financial was acquired by Chicago Individual.

Industries
Trading Companies & Distributors

December 2013
Murphy Business of Sioux Falls was acquired by Jeff Danbom.

Industries
Building Products, Construction & Engineering, Specialized Consumer Services

August 2013
Murphy Business was acquired by Confidential.

Industries
Trucking

February 2013
Transparent Technologies Inc. was acquired by OnePath Systems/Trivest Partners.

Industries
IT Consulting & Other Services, Technology Distributors

October 2012
Confidential was acquired by Confidential.

Industries
Diversified Support Services
","513 N. Belcher Rd, 
            
Clearwater, FL 33765
US",Andrew Thornock,https://network.axial.net/company/murphy-business-financial-corporation

Calhoun Companies,Business Broker ,Minneapolis, MN,http://calhouncompanies.com,"Calhoun Companies, an Upper Midwest business brokerage firm, specializes in the sale of small- to medium-sized businesses in Minnesota, Iowa, North Dakota, South Dakota and Wisconsin. These business transactions may range in size from $50,000 to multi-million dollars. Calhoun has experienced professionals in the sale of businesses with the expertise to value and present your business confidentially in the best manner possible.Since 1908, Calhoun Companies has provided Minnesota, Iowa, North Dakota, South Dakota and Wisconsin with comprehensive business brokerage and commercial real estate services, backed by the strength and resources required to generate maximum results. We serve the Upper Midwest from our headquarters in Minneapolis, operating through a network of offices strategically located around the region. But most important, we offer people -- our trained and dedicated staff of professionals -- ready to serve you in every phase of buying or selling a business.If you are looking to sell or buy a business, building, or a commercial property, call Calhoun Companies. It's the best way to make sure that nothing's missing -- that you will be getting the broad-based professional services your business or property needs, and you deserve!

    Show Less",This company has not listed any industries.,[],,"7600 Parklawn, Suite 225
            
Minneapolis, MN 55345
US",Andy Kocemba,https://network.axial.net/company/calhoun-companies

"Sunbelt Business Brokers - Oxford, UK",Business Broker ,"The Magdalen Centre, Oxford Science Park
            
Oxford,  OX4 4GA
GB",[],http://www.sunbeltnetwork.co.uk/,"We act as intermediaries for business owners and Directors wishing to sell their businesses, and those wishing to make acquisitions. This is very much a ""full service"" offering, starting with a free, confidential, no obligation consultation, all the way to facilitating both sides through due diligence and completion. Working closely with another Sunbelt broker in North London we cover broadly the M40 corridor from Greater London to Banbury and have no sector specialities. Our target size is businesses with turnover from å£1m - å£5m, but we've sold both smaller and bigger. Our philosophy is that if we can understand it and believe we can sell it, we'll take it on, and the reverse is always true!

    Show Less","Business Services:
                                Research & Consulting Services
                            
Real Estate:
                                Diversified Real Estate Activities",[],,"The Magdalen Centre, Oxford Science Park
            
Oxford,  OX4 4GA
GB","Dominic Marlow
Senior Broker",https://network.axial.net/company/sunbelt-business-brokers-oxford-uk

"Sunbelt Business Brokers - Hampton, VA",Business Broker ,Norfolk, VA,http://www.sunbeltnetwork.com/virginia-state/,"As business brokers, we help our clients confidentially buy and sell privately held businesses, aligning the interests of all parties for mutual success and satisfaction.Sunbelt business brokers service both the Main Street and Middle Market sectors. While there is no one definition that clearly delineates these segments, we generally consider a Main Street business to be one valued at less than $1m, and Middle Market businesses to be valued above $1m.","Financial Services:
                                Consumer Finance; Diversified Capital Markets; Diversified Financials; Investment Banking & Brokerage; Mortgage Broker; Other Diversified Financial Services; Specialized Finance",[],"
January 2014
Frank Goe was acquired by Frank Goa.

Industries
Restaurants

May 2013
East Coast Aviation divested to Broad Reach Corp.

Industries
Education Services, Specialized Consumer Services
","4005 Granby Street, 
            
Norfolk, VA 23504
US","Fouad Mohit
Business Broker / Commercial Real estate agent",https://network.axial.net/company/sunbelt-business-brokers-hampton-va

Vested Business Brokers,Business Broker ,Smithtown, NY,http://www.vestedbb.com/home,"Today the Vested database contains 180,000+ pre-qualified, registered business buyers, and the complete financial details of approximately 12,000 businesses for sale we have worked together with over the last eight years. Our database is fully searchable by myriad criteria, and it is an indispensable research tool. Individual Vested Business Brokers price businesses for sale based upon the wishes of their sellers and the information contained within the database. The database also automatically matches potential business buyers with businesses for sale, and functions to funnel potential business buyers from all around the world to view suitable businesses for sale on our Website after we market them globally on the Internet. As the fastest growing, largest, privately held, non-franchise based, business brokerage network in the United States, we invite you to experience the difference and learn for yourself how relevant search and our database can help you successfully buy a business or sell your business. For a limited time we are happy to offer both business buyers and business sellers the opportunity to receive two free ""comparables""& the financial data of two other businesses in your local area that are similar to the type of business you are thinking about either buying or selling. Our comparables will help you to determine if the pricing of the business you are buying or selling is in line with your local market, and no other business brokerage firm has such a complete set of data available.

    Show Less",This company has not listed any industries.,[],,"50 Karl Avenue, 
            
Smithtown, NY 11787
US",Chuck Dermott,https://network.axial.net/company/vested-business-brokers

Turner Butler,Business Broker ,UK, Middlesex,http://www.turnerbutler.co.uk,"Our philosophy is simple: we do not expect any payment in advance for our services or to support the substantial investment we make every day on your behalf.We will outlay our resources and effort in return for your commitment to work exclusively with us.With 39 years of wide-ranging experience in business sales we offer you a professional service which is confidential, comprehensive, personal and friendly.Confidentially, using our extensive market knowledge, advertising and research, we will introduce your prospective buyers and will work one to one with you, managing all aspects of the sale, with an approach aimed at maximising your sale value.We employ experience, knowledge and expertise to ensure you will receive the maximum value for your business.Selling your business is the most important event of your business life.Our service includes:Advice on pre-sale planningFree business valuationPreparation of the Sales Memorandum describing your businessProactive, confidential advertising and marketing, in the national press, specialist trade publications and national and international websites.We save you time - Turner Butler find and deal with prospective buyers for you. This means that you can concentrate on running your business.Turner Butler deal with selling businesses every day, getting the maximum value for you, marketing your business and handling negotiations.There are many reasons for you to choose the Turner Butler team to sell your Business:We act confidentially; you don't want your staff, competitors, suppliers or bankers to know that your Business is for sale.We save you time - Turner Butler find and deal with prospective buyers for you. This means that you can concentrate on running your business.Turner Butler deal with selling businesses every day, getting the maximum value for you, marketing your business and handling negotiations.How do Turner Butler services work? Turner Butler's process is as follows: 1. Decision by you to sell 2. Free valuation meeting  3. Turner Butler research and gather the information on your Business  4. Turner Butler instructed to sell your Business for its maximum value 5. Issues (if any) identified for action by Turner Butler dealt with  6. Sale Memorandum prepared by Turner Butler and approved by you.  7. Turner Butler advertises your business confidentially for sale  8. Turner Butler undertake database research to locate, approach and qualify targeted purchasers 9. Confidentiality agreements secured with prospective purchasers 10. Turner Butler notify you of the interest by prospective purchasers and arranges a discreet visit  11. Turner Butler handles negotiations  12. You appoint your legal representative  13. You accept the successful offer  14. Heads of Agreement drawn up between parties  15. Purchasers undertake due diligence  16. Solicitors deal with contract to purchase  17. Legal completion When you would like to know more about the service provided by Turner Butler and what we will do for you, please call free on 0800 028 9999 or email BusinessSale@turnerbutler.co.uk

    Show Less","Business Services:
                                Advertising; Airport Services; Commercial Printing; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Office Services & Supplies; Payment Processors; Research & Consulting Services; Security & Alarm Services
                            
Consumer Goods:
                                Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Distillers & Vintners; Food, Beverage & Tobacco; Footwear; Home Furnishings; Homebuilding; Household & Personal Products; Household Appliances; Household Products; Housewares & Specialties; Leisure Products; Packaged Foods & Meats; Soft Drinks; Tobacco
                            
Consumer Services:
                                Casino & Gaming Operators; Education Services; Hotel, Resort & Cruise Line Operators; Leisure Facilities; Restaurants; Specialized Consumer Services
                            
Distribution:
                                Air Freight & Logistics; Food Distributors; Marine Shipping; Retail Distributors; Technology Distributors
                            
Energy & Utilities:
                                Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Coal & Consumable Fuels; Electric Utilities; Energy Equipment & Services; Gas Utilities; Independent Power Producers & Energy Traders; Integrated Oil & Gas; Multi-Utilities; Oil & Gas Drilling; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels; Utilities; Water Utilities
                            
Financial Services:
                                Asset Management & Custody Banks; Banks; Consumer Finance; Credit & Debit Card Issuers; Diversified Banks; Diversified Capital Markets; Diversified Financials; Insurance; Insurance Brokers; Investment Banking & Brokerage; Life & Health Insurance; Mortgage Banker; Mortgage Broker; Mortgage Processors & Servicers; Multi-Sector Holdings; Multi-line Insurance; Other Diversified Financial Services; Payday Lenders; Property & Casualty Insurance; Regional Banks; Reinsurance; Specialized Finance; Thrifts & S&Ls
                            
Health Care:
                                Health Care Distributors; Health Care Equipment; Health Care Facilities; Health Care Services; Health Care Supplies; Health Care Technology; Managed Health Care
                            
Industrials:
                                Aerospace & Defense; Airlines; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Ports & Services; Railroads; Safety Equipment; Third Party Logistics (3PL); Trading Companies & Distributors; Transportation; Trucking
                            
Manufacturing:
                                Automobile Manufacturers; Building Products; Computer Storage & Peripherals; Construction Materials; Consumer Electronics; Forest Products; Heavy Electrical Equipment; Heavy Manufacturing; Light Manufacturing; Metal, Glass & Plastic Containers; Motorcycle Manufacturers; Office Electronics; Paper Packaging; Paper Products; Personal Products; Photographic Products; Textiles; Tires & Rubber
                            
Media:
                                Broadcasting; Cable & Satellite; Digital & Social Media; Movies & Entertainment; Publishing
                            
Real Estate:
                                Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services
                            
Retail:
                                Apparel Retail; Automotive Retail; Catalog Retail; Computer & Electronics Retail; Department Stores; Drug Retail; Food Retail; General Merchandise Stores; Home Improvement Retail; Homefurnishing Retail; Hypermarkets & Super Centers; Internet Retail; Specialty Stores
                            
Technology:
                                Application Software; Communications Equipment; Computer Hardware; Electronic Components; Electronic Equipment & Instruments; Electronic Manufacturing Services; Financial Technology; Hardware; Home Entertainment Software; Internet Software & Services; Semiconductor Equipment; Semiconductors; Software; Systems Software
                            
Telecommunications:
                                Alternative Carriers; Integrated Telecommunication Services; Wireless Telecommunication Services
                            
Show Less",[],,"UK, 
            
UK, Middlesex 99999
GB","Andrew Hudson
Web Manager",https://network.axial.net/company/turner-butler

Bracquisitions GmbH,Business Broker ,Kaiserslautern, Rheinlandpfalz,http://www.bracquisitions.com,"Bracquisitions GmbH is a M&A consultancy headquartered in Germany with focus in the Brazilian market.We typically represent the seller side, but prefer to prospect targets for strategic buyers. As a result of our presence in the country as well as by our extensive networking, we have early access to major opportunities in the Brazilian market.",Generalist,[],,"Casimirring 36, 
            
Kaiserslautern, Rheinlandpfalz 67663
DE","Dr. Marcelo JosÌ© Wesseling
CEO",https://network.axial.net/company/bracquisitions-gmbh

Total Drilling Supply,Business Broker ,Conroe, TX,http://www.totaldrillingsupply.com,"Total Drilling Supply LLC is a worldwide exporter of drill rigs and drilling equipment. We are the largest supplier in the world for used and new drill rigs and drilling equipment. We have direct contact with drillers worldwide. With the help from our numerous partners accessing multiple databases, we are able to facilitate buyers more quickly.Total Drilling Supply was created with the concept of providing top quality used and new drill rigs and equipment to all businesses large and small. We are committed to providing our customers with the latest innovations the industry has to offer.

    Show Less","Energy & Utilities:
                                Energy Equipment & Services; Oil & Gas Drilling; Oil & Gas Equipment & Services",[],,"1110 N Loop 336 W, Suite 407, 4th Floor
            
Conroe, TX 77301
US",Bob Neundorf,https://network.axial.net/company/total-drilling-supply

Bizapity,Consultant ,Jacksonville , FL,http://bizapity.com,"Bizapity is a Venture Capital firm that specializes in Pre-Revenue start-ups and developing innovative web platforms. Bizapity was founded in 2013 and has developed internet properties and made capital investments growing our portfolio to over 50MM. Bizapity is also a leader in software development, complex algorithm development, SEO and Internet Marketing. Bizapity has also conceptualized, developed, monetized and flipped numerous internet properties over its history and specializes in developing custom enterprise level web platforms for investors, companies and partners.Our properties have been featured in Inc. Magazine, Internet Retailer Magazine, Tech Talk Radio, Yahoo, CNBC, NPR Radio, Yahoo News and many others just to name a few.  Our core strategy is designed to implement the experience of our investors and turn them into active managers of properties owned by the firm.Bizapity also provides Turnaround solutions for Technology companies wanting to leverage the power of our 74 C-Level Operations experts.  In addition to Turnaround solutions, we provide Takeover services where we take over all the operations of your business and manage them in house.

    Show Less","Business Services:
                                Advertising; Diversified Support Services; IT Consulting & Other Services; Research & Consulting Services
                            
Consumer Goods:
                                Apparel, Accessories & Luxury Goods; Consumer Durables & Apparel; Consumer Electronics; Footwear; Home Furnishings
                            
Consumer Services:
                                Education Services
                            
Distribution:
                                Food Distributors; Retail Distributors; Technology Distributors
                            
Media:
                                Advertising; Digital & Social Media
                            
Retail:
                                Automotive Retail; Internet Retail; Retail Distributors
                            
Technology:
                                Application Software; Financial Technology; Internet Software & Services; Software
                            
Show Less",[],"
July 2015

Bizapity provided capital to Pinstakes.
Industries
Advertising, Digital & Social Media, Publishing

July 2015

Bizapity provided capital to inCrowding.com.
Industries
Apparel, Accessories & Luxury Goods, Home Furnishings, Household Products, +4 more

April 2015

Bizapity provided capital to KidEntrepreneur.biz.
Industries
Education Services, Internet Software & Services

August 2014

Bizapity provided capital to ScaleSocially.
Industries
Advertising, Digital & Social Media, Publishing

July 2014

Bizapity provided capital to eBassador.
Industries
Advertising

July 2014

Bizapity provided capital to PaidBids.com.
Industries
Advertising, Application Software, Human Resource & Employment Services

January 2012

Bizapity provided capital to MOMinated.com.
Industries
Advertising, Digital & Social Media
","13453 N. Main St., suite 401
            
Jacksonville , FL 32218
US","Robert Thomas
Owner",https://network.axial.net/company/bizapity

First West Consultants LLC.,Consultant ,Portland, OR,https://network.axial.net/a/company/first-west-consultants-llc/,[],This company has not listed any industries.,[],,"57770 Southwest Arrow Wood Ln, 
            
Portland, OR 97225
US",Les Bick,https://network.axial.net/company/first-west-consultants-llc

Ventana Financial Associates,Consultant ,Lake Forest, IL,https://network.axial.net/a/company/ventana-financials-associates,"Ventana Financial Resources, Inc. is a principal investment firm specializing in seed, startup, buyout and mezzanine investments. It seeks to invest in midwest, southeast and southwest United States. The firm seeks to invest a minimum of $5 million in its portfolio companies.Ventana Financial Resources, Inc. was founded in 1984 and is based in Lake Forest, Illinois with an additional office in Orange Park, Florida.","Financial Services:
                                Diversified Financials; Investment Banking & Brokerage",[],,"249 Market Sq, 
            
Lake Forest, IL 60045
US",Albert Montano,https://network.axial.net/company/ventana-financials-associates

1st Choice Realty & Investment Group,Consultant ,Tamarindo, GUANACASTE,https://network.axial.net/a/company/1st-choice-realty-investment-group/,"Specializing in Commercial & Residential Real Estate Sales and Management.. I am a Broker with over 18 years of Experience. I have worked specifically in Domestic and International Corporate Relocation, New Construction and Land Sales, Office Sales & Management, Condo Conversions, Leasing & Sales of Multi-Family & Apartment Buildings, Investment Properties, as well as, Property Management. I take pride in my sincere service approach always acting in the best interest of my client.We are honored to represent some of the best opportunities on the market and are eager to collaborate with other real estate professionals and your clients on these and any of our listings. We invite you to review these listings and to reach out if you would like additional information in regards to the offerings or if you need any collateral materials with which to promote these on your own sites or to your clients. Purchasing you ideal house is a brilliant idea one can ever have in a lifetime. I am here to help you out in making this very important choice for your house. My job is my passion. It feels good to be able to help other people everytime there is an opportunity for it. I would like to offer my services to you as I can be a big help in building your ideal house. Please feel free to contact me if you have any concerns related to real estateOur website is updated everyday and is an excellent resource for you to learn about the current Real Estate market in Costa Rica. In this Online Database you can search through our extensive list of properties from all over the country (emphasis in the Guanacaste region) and discover pertinent information about how to fulfill your dreams in Costa Rica. Our team of professionals (made up of bilingual Lawyers, Realtors, Architects, Engineers and more) will save you time, money and we are proud to make your real estate transaction an excellent experience. Take your time to check out all the links on this site as we have provided a great amount of information in order to facilitate a one stop real estate, brokerage and relocation solution.Sincerely Yours,I look forward to continue collaborating with each and every one of you!Ronald UmanaSenior Investment ConsultantNAR/ GAR/ CIPS/FIABCI/REALTORrumana@1stcrcr.comUS &Canada : 1-419-549-8055Cel: +506 87292291Tel. +506 2653 1132US &Canada : 1-419-549-8055Skype: costaricarealestate.1stchoice http://www.1stchoicecostarica.com/https://www.linkedin.com/in/ronaldumana

    Show Less","Business Services:
                                Research & Consulting Services
                            
Real Estate:
                                Diversified Real Estate Activities; Real Estate Development; Real Estate Investment Trusts (REITs); Real Estate Operating Companies; Real Estate Services",[],,"Sol Center second floor , In front AUTOMERCADO
            
Tamarindo, GUANACASTE 50109
CR




                , 
            
Lima, OH 45801
US","Ronald Umana
Senior Investment Consultant",https://network.axial.net/company/1st-choice-realty-investment-group
